SEP,Brain Type,Partial Run Supported,Partial Run Technology Type,Partial Run Technology Type ID
pedNNAttentionMCT0,Mono,True,Pedestrians,15
verifyImagePadding,Mono,False,N/A,N/A
HRPUNDLEStubs,Mono,False,N/A,N/A
FHM_SAVE_PYR,Mono,False,N/A,N/A
pedNNAttentionMCT1,Mono,True,Pedestrians,15
MODStartFrame,Mono,False,MOD,22
xorow,Mono,False,N/A,N/A
SCM_debuggerStartFrame,Mono,False,SCM,14
gridTrackingT1Part2,Mono,False,N/A,N/A
gridTrackingT0Part2,Mono,False,N/A,N/A
coordinatorFastAgendaUpdate,Mono,False,N/A,N/A
CamExchangerDummyUpdate,Mono,False,N/A,N/A
Hazard_startFrameClear,Mono,False,Hazard,5
hrSpotsUpdateSharedDIRect,Mono,True,hrSpots,10
xorow_sync1_xorow_task,Mono,False,N/A,N/A
gridTrackingT1Part1,Mono,False,N/A,N/A
prepareAllAccSTLs,Mono,False,N/A,N/A
FHM_NARROW_T0_DONE,Mono,False,N/A,N/A
FHM_NARROW_T1_DONE,Mono,False,N/A,N/A
collisionHarvest,Mono,False,collision,18
navigationLocal,Mono,False,N/A,N/A
pedNNAttentionMCT0_sync1_ped_sfda_attention_task,Mono,False,N/A,N/A
gridTrackingT1Part1_sync1_ped_grid_tracking_task,Mono,False,N/A,N/A
collisionHarvest_sync1_collisionHarvestTask,Mono,False,collision,18
xorow_sync2_xorow_task,Mono,False,N/A,N/A
prepSys_config,Mono,False,N/A,N/A
prepSys_reporter,Mono,False,N/A,N/A
prepSys_reporter_sync1_prepSys_pre_task,Mono,False,N/A,N/A
unregisterAllPathInfo3D,Mono,False,N/A,N/A
partialRun_load_36fps,Mono,False,N/A,N/A
maSSk_startFrameStarts,Mono,False,N/A,N/A
partialRun_load_Slow,Mono,False,N/A,N/A
SDMupdateFrame,Mono,True,N/A,N/A
SCM_endFrame,Mono,False,SCM,14
SCM_drawDebugger,Mono,False,SCM,14
pedInitSingleFrameT1,Mono,False,N/A,N/A
pedInitSingleFrameT1_sync1_ped_sfda_process_task,Mono,False,N/A,N/A
calcRectificationCRC,Mono,False,N/A,N/A
postAllAccSTLs,Mono,False,N/A,N/A
unregisterAllPathInfo2D,Mono,False,N/A,N/A
pedInitSingleFrameT0,Mono,False,N/A,N/A
pedInitSingleFrameT0_sync1_ped_sfda_process_task,Mono,False,N/A,N/A
xorow_sync3_xorow_task,Mono,False,N/A,N/A
gridTrackingT0Part2_sync1_ped_grid_tracking_task,Mono,False,N/A,N/A
calcLoad,Mono,False,N/A,N/A
VD3DDetection_RunSF_Dispatcher,Mono,False,N/A,N/A
VD3DDetection_RunSF_Dispatcher_sync1_vd3d_runsf_task,Mono,False,N/A,N/A
VD3DDetection_calcFIDsignature,Mono,False,N/A,N/A
xorow_sync4_xorow_task,Mono,False,N/A,N/A
FHM_SAVE_PYR_sync1_fhm_save_pyr_task,Mono,False,N/A,N/A
FHM_SAVE_PYR_sync2_fhm_save_pyr_task,Mono,False,N/A,N/A
PMA_GROUP_LOW_PRIORITY,Mono,False,N/A,N/A
GSForderValidation,Mono,False,N/A,N/A
gridTrackingT1Part2_sync1_ped_grid_tracking_task,Mono,False,N/A,N/A
prepSys_all_in_one,Mono,False,N/A,N/A
prepSys_all_in_one_sync1_prepSys_pyrs_task,Mono,False,N/A,N/A
runTrafficLightsApps,Mono,True,N/A,N/A
gridTrackingT0Part1,Mono,False,N/A,N/A
gridTrackingT0Part1_sync1_ped_grid_tracking_task,Mono,False,N/A,N/A
IMG1_pyrs_sync1_gtmc_hist_task,Mono,False,N/A,N/A
IMG1_pyrs_sync2_gtmc_task,Mono,False,N/A,N/A
IMG1_pyrs_sync3_ltm_Tone_map_task,Mono,False,N/A,N/A
IMG1_pyrs_sync4_ltm_task,Mono,False,N/A,N/A
FHM_T0_DONE,Mono,False,N/A,N/A
FHM_SRD_T0_DONE,Mono,False,N/A,N/A
xFSFastAgendaUpdate,Mono,False,N/A,N/A
IMG1_pyrs_sync5_rtm_task,Mono,False,N/A,N/A
vclInitVehiclePartsTracking,Mono,False,N/A,N/A
vclCamerasUpdate,Mono,False,N/A,N/A
validateCameraHeightChange,Mono,False,N/A,N/A
updateReckoning_T0,Mono,False,N/A,N/A
updatePLM,Mono,False,N/A,N/A
updateNavigation2InputIF,Mono,False,N/A,N/A
updateGPSData,Mono,False,N/A,N/A
updateFcwSwitch,Mono,False,N/A,N/A
updateElectricGridGPS,Mono,False,N/A,N/A
hrSpotsPredictSharedDataT0Positions,Mono,True,hrSpots,10
roadUpdateSpots,Mono,False,road,12
hrSpotsInitFrame,Mono,True,hrSpots,10
hrSpotsInitFrameReport,Mono,True,hrSpots,10
hrSpotsPredictReportModel,Mono,True,hrSpots,10
runRawProcessor,Mono,False,N/A,N/A
runRawProcessor,Mono,False,N/A,N/A
hrSpotsPostRawPredictPosition,Mono,False,hrSpots,10
finalizeNavigation2NMEA,Mono,False,N/A,N/A
fcwValidationGetSignalsInput,Mono,False,N/A,N/A
cvRoadSlopeEstimation,Mono,False,N/A,N/A
copyPrevFrameUpsampleData,Mono,True,Pedestrians,15
calcCollision,Mono,False,N/A,N/A
VD3DDetection_InitFrame,Mono,False,N/A,N/A
VD3DCamerasUpdate,Mono,False,N/A,N/A
SFM2_preprocessCurrT0prevT0,Mono,False,N/A,N/A
SFM2_calcOpticFlowPrevT0,Mono,False,N/A,N/A
SCM_dump,Mono,False,SCM,14
OBJD_InitFrame,Mono,False,N/A,N/A
collisionHarvest_sync2_collisionHarvestTask,Mono,False,collision,18
collisionHarvest_sync3_collisionHarvestTask,Mono,False,collision,18
collisionHarvest_sync4_collisionHarvestTask,Mono,False,collision,18
calcCollision_sync1_collisionCalcTask,Mono,False,collision,18
calcCollision_sync2_collisionCalcTask,Mono,False,collision,18
prepSys_all_in_one_sync2_prepSys_pyrs_task,Mono,False,N/A,N/A
prepSys_all_in_one_sync3_prepSys_pyrs_task,Mono,False,N/A,N/A
prepSys_all_in_one_sync4_prepSys_pyrs_task,Mono,False,N/A,N/A
calcCollision_sync3_collisionCalcTask,Mono,False,collision,18
prepSys_reporter_sync2_prepSys_copy_1st_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync3_prepSys_copy_2nd_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync4_prepSys_reporter_task,Mono,False,N/A,N/A
prepSys_reporter_sync5_prepSys_reporter_prepareProtocol_task,Mono,False,N/A,N/A
prepSys_reporter_sync6_prepSys_pre_task,Mono,False,N/A,N/A
prepSys_reporter_sync7_prepSys_copy_1st_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync8_prepSys_copy_2nd_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync9_prepSys_reporter_task,Mono,False,N/A,N/A
prepSys_reporter_sync10_prepSys_reporter_prepareProtocol_task,Mono,False,N/A,N/A
prepSys_reporter_sync11_prepSys_pre_task,Mono,False,N/A,N/A
prepSys_reporter_sync12_prepSys_copy_1st_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync13_prepSys_copy_2nd_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync14_prepSys_reporter_task,Mono,False,N/A,N/A
prepSys_reporter_sync15_prepSys_reporter_prepareProtocol_task,Mono,False,N/A,N/A
prepSys_reporter_sync16_prepSys_pre_task,Mono,False,N/A,N/A
prepSys_reporter_sync17_prepSys_copy_1st_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync18_prepSys_copy_2nd_part_of_Emodel_task,Mono,False,N/A,N/A
prepSys_reporter_sync19_prepSys_reporter_task,Mono,False,N/A,N/A
prepSys_reporter_sync20_prepSys_reporter_prepareProtocol_task,Mono,False,N/A,N/A
calcRODataCRC,Mono,False,N/A,N/A
slcFindTargets,Mono,True,WMBC,9
hrSpotsClassifyLightconeScene,Mono,True,hrSpots,10
fcwValidationClear_VCL,Mono,False,N/A,N/A
vclStartFrame,Mono,False,N/A,N/A
fcwValidationClear_PED_PANICT2,Mono,False,N/A,N/A
fcwValidationClear_PED_PANICT1,Mono,False,N/A,N/A
b2bExportPrepSysImages,Mono,False,N/A,N/A
SCM_initFrame,Mono,False,SCM,14
SCM_getGOData,Mono,False,SCM,14
REFS_processFrame_REGULAR,Mono,False,N/A,N/A
REFS_processFrameLm2_REGULAR,Mono,False,N/A,N/A
NNFS_processFrame_cam_REGULAR,Mono,False,N/A,N/A
NNFS_processFrame_cam_Lm2_REGULAR,Mono,False,N/A,N/A
updateWipersDecisionT0,Mono,False,N/A,N/A
updateEffectiveExposureT0,Mono,False,N/A,N/A
updateNavigation,Mono,False,N/A,N/A
updateNavigation2Model,Mono,False,N/A,N/A
imageDiffUpdate,Mono,False,N/A,N/A
imageDiffUpdate,Mono,False,N/A,N/A
imageDiffUpdate,Mono,False,N/A,N/A
imageDiffPost,Mono,False,N/A,N/A
calcEdgesIsStopped,Mono,False,N/A,N/A
calcIsStopped,Mono,False,N/A,N/A
failsafePrepareInput,Mono,False,N/A,N/A
prepareGenericFsFeatures,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync1_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync2_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync3_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync4_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync5_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync6_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync7_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync8_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcUnifiedDNNFailsafes_sync9_unifiedDNNCalcTask,Mono,False,N/A,N/A
calcFogAndRainFailsafes,Mono,False,N/A,N/A
calcFogAndRainFailsafes_sync1_fogAndRainCalcTask,Mono,False,N/A,N/A
calcFogAndRainFailsafes_sync2_fogAndRainCalcTask,Mono,False,N/A,N/A
calcFogAndRainFailsafes_sync3_fogAndRainCalcTask,Mono,False,N/A,N/A
calcFogAndRainFailsafes_sync4_fogAndRainCalcTask,Mono,False,N/A,N/A
calcFogAndRainFailsafes_sync5_fogAndRainCalcTask,Mono,False,N/A,N/A
calcCalibFailsafe,Mono,False,N/A,N/A
calcCalibFailsafe_sync1_calibCalcTask,Mono,False,N/A,N/A
calcCalibFailsafe_sync2_calibCalcTask,Mono,False,N/A,N/A
calcCalibFailsafe_sync3_calibCalcTask,Mono,False,N/A,N/A
calcCalibFailsafe_sync4_calibCalcTaskDone,Mono,False,N/A,N/A
calcBasicFailsafes,Mono,False,N/A,N/A
calcBasicFailsafes_sync1_basicCalcTask,Mono,False,N/A,N/A
calcBasicFailsafes_sync2_basicCalcTask,Mono,False,N/A,N/A
copyWiperDecisionOutput,Mono,False,N/A,N/A
calcCurrForeGround,Mono,False,N/A,N/A
updateAverageVarianceImages,Mono,False,N/A,N/A
WM_updateCameraModel,Mono,False,N/A,N/A
roadUpdateWMBC,Mono,False,WMBC,9
SCM_getCMData,Mono,False,SCM,14
WM_updateCalibrationFast,Mono,False,N/A,N/A
WMSM_fastAgenda,Mono,False,N/A,N/A
WMEM_fastAgenda,Mono,False,N/A,N/A
dynREMProcessPrevFrame,Mono,False,N/A,N/A
WMEM_updateRepository_fastAgenda,Mono,False,N/A,N/A
roadUpdateSpeed_T0,Mono,False,road,12
predictRoadDropPoints_T0,Mono,False,N/A,N/A
roadUpdateOptionalInput,Mono,False,road,12
roadUpdateWMBCFOE,Mono,False,WMBC,9
roadStartFrame,Mono,False,road,12
obsPredictionT0,Mono,False,N/A,N/A
removeInvalidMatchedTargetsFullFrameRateClqs,Mono,False,N/A,N/A
obsDNNAlignmentT0,Mono,False,N/A,N/A
fillObsPredictionOutputT0,Mono,False,N/A,N/A
roadUpdatePassingInVehiclesMasking,Mono,False,road,12
roadUpdateVehiclesMasking,Mono,False,road,12
roadUpdateFAMasksT0,Mono,False,road,12
addRoadDropPoints_T0,Mono,False,N/A,N/A
roadUpdatePreviousFastAgendaHorizon,Mono,False,road,12
roadPredictT0,Mono,False,road,12
egoKalmanPredict,Mono,False,N/A,N/A
WM_calcVRMFast,Mono,False,VRM,16
WM_updateVRMFast,Mono,False,VRM,16
WMEM_runSource_CommonCam_T0,Mono,False,N/A,N/A
VD3DFAsetEgoMotionT0,Mono,False,N/A,N/A
VD3DFAPredictT0,Mono,False,N/A,N/A
VD3DFAFillObsT0,Mono,False,N/A,N/A
roadUpdateVd3dBoxes,Mono,False,road,12
roadUpdateMaskingRects,Mono,False,road,12
roadUpdateCurTMeMem,Mono,False,road,12
roadInitSFFrame,Mono,False,road,12
roadSpecialScenesNets,Mono,False,road,12
road4RunNet,Mono,False,road,12
roadUpdateFAVd3dBoxesT0,Mono,False,road,12
maSSk_startFrameVD,Mono,False,N/A,N/A
maSSk_endFrameVD,Mono,False,N/A,N/A
hrSpotsUpdateApprovedVdObjects,Mono,True,hrSpots,10
hrSpotsPublishReport,Mono,True,hrSpots,10
WMEM_fastAgendaData,Mono,False,N/A,N/A
WMEM_runSource_CommonCam_T0_sync1_waitFastAgendaData_si0,Mono,False,N/A,N/A
WMEM_Blend_Common,Mono,False,N/A,N/A
WMEM_Update_Common,Mono,False,N/A,N/A
maSSk_startFramePED,Mono,False,N/A,N/A
maSSk_startFrameVDPED,Mono,False,N/A,N/A
collisionCalcWMEgoMotion,Mono,False,collision,18
WM_updateCalibrationSlow,Mono,False,N/A,N/A
TSRsetVD3DInfo,Mono,False,TSR,0
ImageBufferStartFrame,Mono,False,N/A,N/A
Hazard_startFrameEM,Mono,False,Hazard,5
